CustomerID,Gender,Age,Tenure,PlanType,MonthlyCharges,InternetService,ContractType,PaymentMethod,TechSupport,OnlineSecurity,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,TotalCharges,Churn
CUST1000,Male,59,14,Silver,43.28,DSL,Month-to-month,Credit card,Yes,No,No,No,No,Yes,631.38,No
CUST1001,Female,38,6,Silver,66.63,Fiber optic,Month-to-month,Credit card,No,No,No,No,Yes,Yes,423.95,Yes
CUST1002,Male,54,23,Premium,90.34,Fiber optic,Month-to-month,Credit card,No,No,No,No,No,No,2155.31,No
CUST1003,Male,44,60,Basic,69.24,Fiber optic,Month-to-month,Credit card,Yes,Yes,No,Yes,No,Yes,4356.57,No
CUST1004,Male,69,12,Silver,15.8,Fiber optic,Month-to-month,Bank transfer,No,No,No,Yes,Yes,No,196.89,No
CUST1005,Female,46,13,Basic,23.22,DSL,One year,Electronic check,No,No,Yes,No,Yes,Yes,282.17,No
CUST1006,Male,37,6,Basic,90.74,DSL,One year,Bank transfer,Yes,Yes,Yes,No,Yes,No,578.26,No
CUST1007,Male,42,63,Basic,56.99,DSL,Month-to-month,Credit card,No,No,No,Yes,No,No,3680.6,No
CUST1008,Male,23,38,Silver,97.4,DSL,Month-to-month,Bank transfer,No,No,Yes,Yes,Yes,Yes,3620.9,No
CUST1009,Female,53,50,Gold,83.2,Fiber optic,One year,Mailed check,No,No,Yes,No,Yes,No,4295.7,No
CUST1010,Male,19,52,Basic,76.06,DSL,Two year,Mailed check,No,Yes,No,No,Yes,Yes,4229.4,No
CUST1011,Male,39,40,Silver,109.64,Fiber optic,One year,Credit card,Yes,Yes,Yes,Yes,No,Yes,4703.34,No
CUST1012,Male,49,8,Silver,17.24,Fiber optic,Month-to-month,Bank transfer,No,Yes,Yes,No,Yes,Yes,133.34,Yes
CUST1013,Male,33,61,Silver,31.28,Fiber optic,Month-to-month,Mailed check,Yes,No,No,Yes,Yes,Yes,1762.33,No
CUST1014,Female,35,8,Premium,80.56,DSL,Two year,Electronic check,No,No,No,Yes,No,Yes,608.81,No
CUST1015,Male,22,34,Basic,21.91,Fiber optic,One year,Credit card,Yes,Yes,No,No,No,Yes,760.87,No
CUST1016,Female,53,60,Basic,82.72,Fiber optic,Month-to-month,Bank transfer,No,No,Yes,Yes,Yes,Yes,4979.6,No
CUST1017,Female,47,57,Basic,118.33,DSL,One year,Credit card,No,No,Yes,Yes,No,No,6737.09,Yes
CUST1018,Female,62,46,Gold,107.27,Fiber optic,Month-to-month,Mailed check,Yes,Yes,Yes,No,No,Yes,4740.33,No
CUST1019,Male,36,22,Premium,77.05,DSL,Month-to-month,Electronic check,Yes,No,No,No,Yes,Yes,1551.25,No
CUST1020,Female,40,40,Basic,108.87,None,Month-to-month,Mailed check,No,No,No,Yes,Yes,Yes,4181.47,Yes
CUST1021,Male,51,45,Basic,27.21,Fiber optic,One year,Credit card,Yes,Yes,Yes,Yes,Yes,Yes,1271.44,No
CUST1022,Female,30,55,Silver,62.74,Fiber optic,Month-to-month,Electronic check,No,No,No,No,Yes,Yes,3534.89,No
CUST1023,Female,60,51,Gold,60.01,Fiber optic,Month-to-month,Bank transfer,Yes,No,No,Yes,Yes,Yes,2923.78,No
CUST1024,Female,46,5,Silver,50.33,Fiber optic,One year,Mailed check,Yes,Yes,Yes,Yes,Yes,Yes,265.34,No
CUST1025,Female,53,13,Premium,15.02,Fiber optic,One year,Electronic check,No,No,Yes,Yes,No,No,213.18,No
CUST1026,Female,39,28,Gold,108.56,Fiber optic,Month-to-month,Credit card,No,Yes,No,No,Yes,Yes,2889.25,No
CUST1027,Female,69,62,Gold,96.66,Fiber optic,Month-to-month,Bank transfer,No,No,Yes,Yes,Yes,Yes,6336.52,No
CUST1028,Female,69,24,Silver,83.55,Fiber optic,Month-to-month,Credit card,No,Yes,Yes,No,No,No,2120.07,No
CUST1029,Female,64,7,Basic,28.54,DSL,Month-to-month,Credit card,Yes,No,No,Yes,Yes,Yes,201.16,Yes
CUST1030,Male,53,38,Gold,54.71,DSL,Month-to-month,Bank transfer,Yes,No,Yes,Yes,No,Yes,1875.25,No
CUST1031,Male,26,37,Silver,112.05,DSL,Month-to-month,Electronic check,Yes,Yes,No,No,Yes,No,3975.26,No
CUST1032,Female,56,68,Basic,79.78,Fiber optic,Month-to-month,Electronic check,No,Yes,No,No,No,Yes,4924.98,No
CUST1033,Female,68,42,Basic,78.36,DSL,Two year,Bank transfer,No,Yes,Yes,No,No,Yes,3230.99,No
CUST1034,Female,36,5,Silver,110.88,Fiber optic,Two year,Bank transfer,Yes,Yes,No,Yes,Yes,Yes,562.05,No
CUST1035,Male,55,64,Silver,73.78,DSL,Month-to-month,Credit card,No,No,Yes,No,No,No,4663.08,No
CUST1036,Female,23,50,Silver,77.75,DSL,Month-to-month,Credit card,No,No,Yes,Yes,Yes,Yes,4038.31,No
CUST1037,Male,69,15,Basic,51.3,Fiber optic,Month-to-month,Mailed check,Yes,No,No,No,Yes,Yes,728.73,No
CUST1038,Male,64,53,Silver,54,DSL,Month-to-month,Bank transfer,Yes,No,Yes,Yes,No,Yes,2620.47,No
CUST1039,Male,32,25,Basic,86.99,Fiber optic,One year,Mailed check,Yes,No,No,No,Yes,Yes,2030.75,No
CUST1040,Male,37,9,Silver,48.65,Fiber optic,One year,Bank transfer,No,Yes,No,Yes,No,No,417.48,No
CUST1041,Male,26,38,Silver,73.71,DSL,Two year,Mailed check,Yes,No,Yes,Yes,Yes,No,2657.17,No
CUST1042,Female,49,22,Gold,44.32,Fiber optic,Two year,Credit card,No,No,Yes,No,Yes,No,977.66,No
CUST1043,Female,21,49,Gold,32.44,Fiber optic,Two year,Credit card,No,Yes,No,Yes,Yes,Yes,1716.12,No
CUST1044,Female,67,68,Gold,62.71,Fiber optic,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,Yes,4141.93,No
CUST1045,Female,35,15,Gold,37.83,Fiber optic,Two year,Mailed check,Yes,No,Yes,No,Yes,No,520.28,No
CUST1046,Female,22,65,Silver,109.34,DSL,Month-to-month,Bank transfer,Yes,Yes,No,Yes,Yes,No,7561.92,No
CUST1047,Male,37,54,Basic,46.88,DSL,Two year,Mailed check,No,No,Yes,Yes,Yes,No,2286.55,No
CUST1048,Female,40,30,Silver,77.73,Fiber optic,Month-to-month,Credit card,Yes,Yes,Yes,Yes,Yes,Yes,2339.14,No
CUST1049,Female,28,20,Silver,42.66,Fiber optic,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,Yes,905.94,No
CUST1050,Male,54,33,Silver,42.09,DSL,Month-to-month,Mailed check,No,Yes,Yes,Yes,No,Yes,1407.43,No
CUST1051,Female,39,7,Basic,51.82,DSL,Month-to-month,Credit card,No,No,Yes,Yes,Yes,Yes,393.95,Yes
CUST1052,Male,21,8,Premium,111.17,Fiber optic,One year,Bank transfer,Yes,Yes,No,Yes,Yes,Yes,805.76,No
CUST1053,Female,46,28,Basic,56.11,DSL,Two year,Electronic check,No,No,No,Yes,No,Yes,1709.9,No
CUST1054,Male,61,45,Basic,101.23,DSL,Month-to-month,Credit card,Yes,Yes,Yes,No,No,Yes,4782.86,Yes
CUST1055,Female,51,11,Premium,35.72,DSL,Month-to-month,Bank transfer,No,No,No,Yes,Yes,No,379.37,Yes
CUST1056,Female,30,31,Gold,20.06,Fiber optic,Month-to-month,Mailed check,No,Yes,Yes,No,Yes,No,637.74,No
CUST1057,Male,59,12,Basic,97.08,DSL,Month-to-month,Bank transfer,No,Yes,No,Yes,Yes,No,1179.4,No
CUST1058,Male,26,51,Premium,71.9,Fiber optic,Month-to-month,Bank transfer,Yes,Yes,Yes,No,Yes,No,3967.93,No
CUST1059,Male,59,44,Basic,67.89,Fiber optic,Month-to-month,Bank transfer,No,Yes,No,Yes,Yes,No,2935.07,No
CUST1060,Male,48,50,Gold,43.58,Fiber optic,Month-to-month,Electronic check,Yes,No,Yes,Yes,Yes,Yes,2004.45,No
CUST1061,Male,24,17,Silver,22.59,Fiber optic,Two year,Credit card,No,Yes,Yes,Yes,Yes,No,350.9,No
CUST1062,Male,21,35,Silver,65.7,Fiber optic,Two year,Credit card,No,No,No,Yes,Yes,Yes,2259.79,No
CUST1063,Male,36,1,Gold,106.06,Fiber optic,Month-to-month,Bank transfer,Yes,No,Yes,No,Yes,No,116.36,Yes
CUST1064,Male,59,29,Basic,27.6,DSL,Two year,Mailed check,No,Yes,Yes,Yes,Yes,Yes,819.43,No
CUST1065,Female,47,51,Basic,112.56,DSL,Month-to-month,Mailed check,No,Yes,Yes,Yes,Yes,No,6018.18,Yes
