CustomerID,BillingRegion,TotalSpent,LastPaymentDate
CUST1000,West,353.59,2025-03-20
CUST1001,East,530.74,2025-03-16
CUST1002,South,1017.18,2025-07-31
CUST1003,South,743.98,2025-09-30
CUST1004,West,2785.91,2025-10-14
CUST1005,North,2495.56,2025-09-29
CUST1006,West,559.94,2025-01-13
CUST1007,South,1110.41,2025-04-16
CUST1008,West,1237.74,2025-02-28
CUST1009,East,412.05,2025-04-04
CUST1010,South,1480.92,2025-04-14
CUST1011,North,747.46,2025-09-10
CUST1012,North,1452.01,2025-09-08
CUST1013,South,1204.97,2025-02-04
CUST1014,East,2939.54,2025-10-28
CUST1015,West,695.21,2025-03-28
CUST1016,West,1463.89,2025-03-25
CUST1017,North,2197.76,2025-03-31
CUST1018,West,1355.96,2025-07-04
CUST1019,North,2926.18,2025-09-14
CUST1020,West,509.05,2025-08-22
CUST1021,South,2749.81,2025-07-14
CUST1022,South,1763.74,2025-05-04
CUST1023,West,2126.96,2025-05-29
CUST1024,North,1538.27,2025-02-25
CUST1025,West,928.51,2025-09-21
CUST1026,North,2193.49,2025-03-26
CUST1027,South,1686.39,2025-05-30
CUST1028,North,1601.57,2025-02-02
CUST1029,South,745.08,2025-03-11
CUST1030,North,1083.3,2025-10-24
CUST1031,North,1345.68,2025-04-11
CUST1032,East,1418.3,2025-09-24
CUST1033,South,1075.79,2025-02-27
CUST1034,North,1198.45,2025-07-09
CUST1035,South,792.37,2025-08-28
CUST1036,South,1930.52,2025-10-06
CUST1037,South,774.92,2025-02-25
CUST1038,East,1186.73,2025-01-21
CUST1039,East,1251.2,2025-05-06
CUST1040,South,2181.46,2025-04-27
CUST1041,West,2282.34,2025-05-05
CUST1042,East,2304.76,2025-06-23
CUST1043,South,1569.39,2025-07-04
CUST1044,South,1374.02,2025-10-04
CUST1045,East,454.46,2025-07-05
CUST1046,South,1858.13,2025-01-08
CUST1047,East,992.82,2025-02-07
CUST1048,East,1627.75,2025-10-27
CUST1049,South,1519.02,2025-10-02
CUST1050,North,1147.02,2025-04-23
CUST1051,West,824.94,2025-06-21
CUST1052,South,328.78,2025-01-05
CUST1053,West,2311.39,2025-02-26
CUST1054,East,1215.47,2025-08-10
CUST1055,South,2082.72,2025-03-01
CUST1056,West,2925.83,2025-06-05
CUST1057,West,2721.13,2025-10-04
CUST1058,West,1026.79,2025-04-13
CUST1059,West,2356.64,2025-08-22
CUST1060,North,443.95,2025-08-06
CUST1061,West,1334.17,2025-01-10
CUST1062,South,1745.44,2025-09-05
CUST1063,East,2205.02,2025-03-01
CUST1064,South,2797.44,2025-08-14
CUST1065,West,1219.72,2025-04-07
CUST1066,East,776.92,2025-05-08
CUST1067,North,1538.44,2025-03-04
CUST1068,West,2717.14,2025-01-12
CUST1069,East,909.98,2025-06-12
CUST1070,North,2515.27,2025-08-25
CUST1071,North,1897.63,2025-06-17
CUST1072,West,2345.16,2025-01-03
CUST1073,North,2805.75,2025-10-25
CUST1074,South,2209.61,2025-05-26
CUST1075,West,801.04,2025-01-27
CUST1076,North,1423.91,2025-07-04
CUST1077,West,835.81,2025-08-29
CUST1078,West,1525.81,2025-10-02
CUST1079,West,1394.7,2025-09-28
CUST1080,North,2924.87,2025-04-08
CUST1081,South,2064.34,2025-10-05
CUST1082,East,629.72,2025-02-22
CUST1083,South,1925.89,2025-09-17
CUST1084,North,1775.11,2025-09-02
CUST1085,North,2312.3,2025-09-07
CUST1086,East,2537.38,2025-03-15
CUST1087,South,613.73,2025-05-04
CUST1088,West,2445.73,2025-07-24
CUST1089,South,2728.66,2025-02-20
CUST1090,North,487.15,2025-03-23
CUST1091,West,1971.34,2025-03-15
CUST1092,South,1996.96,2025-07-28
CUST1093,West,346.87,2025-09-18
CUST1094,South,2242.69,2025-03-05
CUST1095,South,2087.69,2025-03-07
CUST1096,South,2727.48,2025-07-30
CUST1097,West,669.32,2025-02-03
CUST1098,North,1005.87,2025-01-01
CUST1099,East,2661.13,2025-07-05
CUST1100,North,1416.96,2025-01-03
